userID;pseudonym;round;points;level;startTime;taskTimes;tries
boc37004;CookieClaus;2;15;8;2021-12-20 09:26:34.990000+00:00;"[[""unit1Ident"",""2021-12-20T09:52:51.825Z"",""2021-12-20T09:54:49.779Z"",""2021-12-20T09:58:39.302Z""],[""unit2Ident"",""2021-12-20T10:10:24.122Z"",""2021-12-20T10:12:28.523Z"",""2021-12-20T10:18:55.779Z""],[""unit2Resp"",""2021-12-20T10:20:06.528Z"",""2021-12-20T10:29:56.488Z"",""2021-12-20T10:32:31.098Z"",""2021-12-20T10:34:00.141Z"",""2021-12-20T10:38:38.044Z""]]";[[3,1],[3,0],[2,3,3,3]]
ibm20411;GitGuenther;2;17;8;2021-12-20 09:16:56.807000+00:00;"[[""unit1Ident"",""2021-12-20T09:36:09.518Z"",""2021-12-20T09:36:24.539Z"",""2021-12-20T09:40:29.465Z""],[""unit2Ident"",""2021-12-20T09:55:10.487Z"",""2021-12-20T09:57:34.813Z"",""2021-12-20T10:02:29.791Z""],[""unit2Resp"",""2021-12-20T10:03:04.557Z"",""2021-12-20T10:07:23.268Z"",""2021-12-20T10:15:35.287Z"",""2021-12-20T10:16:48.584Z"",""2021-12-20T10:23:29.858Z""]]";[[3,2],[3,2],[2,3,3,2]]
kij16749;FirmwareFelix;2;12;8;2021-12-20 09:26:31.080000+00:00;"[[""unit1Ident"",""2021-12-20T09:51:10.590Z"",""2021-12-20T09:58:38.255Z"",""2021-12-20T10:01:36.316Z""],[""unit2Ident"",""2021-12-20T10:11:40.779Z"",""2021-12-20T10:12:31.126Z"",""2021-12-20T10:15:31.570Z""],[""2021-12-20T10:48:58.343Z""]]";[[0]]
kil16476;DesktopDaniel;2;-1;4;2021-12-20 10:19:35.543000+00:00;"[[""unit1Ident"",""2021-12-20T10:25:45.705Z"",""2021-12-20T10:30:24.495Z"",""2021-12-20T10:30:36.107Z""],[""unit2Ident"",""2021-12-20T10:37:52.965Z"",""2021-12-20T10:43:53.509Z"",""2021-12-20T10:45:30.075Z""]]";[[0,0],[0,0]]
kol25594;NextcloudNoel;2;6;8;2021-12-20 09:24:20.217000+00:00;"[[""2021-12-20T09:48:35.487Z""],[""2021-12-20T10:05:16.705Z""],[""2021-12-20T10:35:55.010Z""]]";[[0]]
laa15273;PasswordPenguin;2;4;6;2021-12-20 09:23:36.418000+00:00;"[[""unit1Ident"",""2021-12-20T09:35:48.896Z"",""2021-12-20T09:40:19.657Z"",""2021-12-20T09:42:07.956Z""],[""unit2Ident"",""2021-12-20T09:51:04.314Z"",""2021-12-20T09:53:22.905Z"",""2021-12-20T09:55:50.207Z""]]";[[2,1],[2,0]]
lus62506;IntrusionIda;2;19;8;2021-12-20 09:28:18.248000+00:00;"[[""unit1Ident"",""2021-12-20T09:37:45.867Z"",""2021-12-20T09:45:22.492Z"",""2021-12-20T09:46:53.030Z""],[""2021-12-20T10:21:48.113Z""],[""unit2Resp"",""2021-12-20T10:28:10.900Z"",""2021-12-20T10:39:57.213Z"",""2021-12-20T10:46:51.666Z"",""2021-12-20T10:48:38.951Z"",""2021-12-20T10:54:41.773Z""]]";[[3,3],[0],[2,3,3,3]]
oma31418;BackupBob;2;3;8;2021-12-20 09:24:08.536000+00:00;"[[""2021-12-20T10:06:30.463Z""],[""unit2Ident"",""2021-12-20T10:19:56.936Z"",""2021-12-20T10:20:11.046Z"",""2021-12-20T10:23:36.027Z""],[""unit2Resp"",""2021-12-20T10:23:49.161Z"",""2021-12-20T10:31:26.290Z"",""2021-12-20T10:37:33.658Z"",""2021-12-20T10:40:08.593Z"",""2021-12-20T10:41:45.244Z""]]";[[3],[0,0],[0,0,3,0]]
orf38393;CyberCaspar;2;13;8;2021-12-20 09:19:37.594000+00:00;"[[""unit1Ident"",""2021-12-20T09:34:51.500Z"",""2021-12-20T09:37:02.467Z"",""2021-12-20T09:39:48.764Z""],[""unit2Ident"",""2021-12-20T09:45:44.165Z"",""2021-12-20T09:46:44.543Z"",""2021-12-20T09:52:29.148Z""],[""unit2Resp"",""2021-12-20T09:53:17.532Z"",""2021-12-20T09:57:45.776Z"",""2021-12-20T10:11:25.163Z"",""2021-12-20T10:11:54.482Z"",""2021-12-20T10:14:58.287Z""]]";[[2,0],[3,0],[3,3,3,2]]
pfm27663;BitcoinBene;2;21;8;2021-12-20 09:19:25.422000+00:00;"[[""unit1Ident"",""2021-12-20T09:38:52.110Z"",""2021-12-20T09:39:05.641Z"",""2021-12-20T09:40:41.501Z""],[""unit2Ident"",""2021-12-20T10:09:37.784Z"",""2021-12-20T10:10:20.643Z"",""2021-12-20T10:23:56.504Z""],[""unit2Resp"",""2021-12-20T10:24:49.446Z"",""2021-12-20T10:41:27.494Z"",""2021-12-20T10:46:38.013Z"",""2021-12-20T10:48:12.483Z"",""2021-12-20T10:54:59.318Z""]]";[[3,3],[3,0],[3,3,3,3]]
prf34847;ReindeerRudoplph;2;19;8;2021-12-20 09:19:10.049000+00:00;"[[""unit1Ident"",""2021-12-20T09:28:57.407Z"",""2021-12-20T09:29:57.123Z"",""2021-12-20T09:32:24.701Z""],[""unit2Ident"",""2021-12-20T09:42:21.028Z"",""2021-12-20T09:44:39.150Z"",""2021-12-20T09:52:45.896Z""],[""unit2Resp"",""2021-12-20T09:52:54.790Z"",""2021-12-20T09:56:50.618Z"",""2021-12-20T10:00:11.803Z"",""2021-12-20T10:02:00.201Z"",""2021-12-20T10:04:52.166Z""]]";[[3,1],[3,1],[3,3,2,3]]
res61232;FortranFiona;2;17;8;2021-12-20 09:18:39.580000+00:00;"[[""unit1Ident"",""2021-12-20T09:34:52.552Z"",""2021-12-20T09:36:04.317Z"",""2021-12-20T09:37:14.509Z""],[""unit2Ident"",""2021-12-20T09:52:28.576Z"",""2021-12-20T09:55:00.685Z"",""2021-12-20T10:01:28.670Z""],[""2021-12-20T10:19:52.934Z""]]";[[3]]
sim62334;ReactRolf;2;-1;1;2021-12-20 09:23:05.737000+00:00;;
wim28377;TitanicTiffany;2;17;8;2021-12-20 09:23:50.403000+00:00;"[[""unit1Ident"",""2021-12-20T09:34:38.821Z"",""2021-12-20T09:40:18.167Z"",""2021-12-20T09:40:36.615Z""],[""unit2Ident"",""2021-12-20T09:44:14.164Z"",""2021-12-20T09:46:34.768Z"",""2021-12-20T09:58:24.540Z""],[""unit2Resp"",""2021-12-20T09:58:35.487Z"",""2021-12-20T10:21:52.163Z"",""2021-12-20T10:25:28.044Z"",""2021-12-20T10:26:34.315Z"",""2021-12-20T10:34:28.072Z""]]";[[3,2],[2,0],[3,3,3,3]]
