userID;pseudonym;round;points;level;startTime;taskTimes;tries;ip;task1_start;task1_end;task1_hints;task1_points;task1_tlx_1;task1_tlx_2;task1_tlx_3;task1_tlx_4;task2_start;task2_end;task2_hints;task2_points;task2_tlx_1;task2_tlx_2;task2_tlx_3;task2_tlx_4;task3_start;task3_end;task3_hints;task3_points;task3_tlx_1;task3_tlx_2;task3_tlx_3;task3_tlx_4;task4_start;task4_end;task4_hints;task4_points;task4_tlx_1;task4_tlx_2;task4_tlx_3;task4_tlx_4;task5_start;task5_end;task5_hints;task5_points;task5_tlx_1;task5_tlx_2;task5_tlx_3;task5_tlx_4;task6_start;task6_end;task6_hints;task6_points;task6_tlx_1;task6_tlx_2;task6_tlx_3;task6_tlx_4
JanaM;JupiterJason;1;93;6;2022-01-18 09:14:30.386000+00:00;"[[""task1"",""2022-01-18T09:26:31.533Z"",""2022-01-18T09:28:22.331Z"",null],[""task2"",""2022-01-18T09:32:02.806Z"",""2022-01-18T09:44:22.686Z"",null],[""task3"",""2022-01-18T09:48:40.972Z"",""2022-01-18T09:54:06.389Z"",null],[""task4"",""2022-01-18T10:02:01.500Z"",""2022-01-18T10:03:03.333Z"",null],[""task5"",""2022-01-18T10:04:54.522Z"",""2022-01-18T10:11:15.829Z"",null],[""task6"",""2022-01-18T10:12:57.442Z"",""2022-01-18T10:17:01.046Z"",null]]";;132.199.124.15;Tue Jan 18 2022 10:26:31 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 10:28:22 GMT+0100 (Středoevropský standardní čas);0;3;;;;;Tue Jan 18 2022 10:32:02 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 10:44:22 GMT+0100 (Středoevropský standardní čas);0;6;;;;;Tue Jan 18 2022 10:48:40 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 10:54:06 GMT+0100 (Středoevropský standardní čas);0;23;;;;;Tue Jan 18 2022 10:58:24 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 11:03:03 GMT+0100 (Středoevropský standardní čas);0;11;;;;;Tue Jan 18 2022 11:04:54 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 11:11:15 GMT+0100 (Středoevropský standardní čas);1;25;;;;;Tue Jan 18 2022 11:12:57 GMT+0100 (Středoevropský standardní čas);Tue Jan 18 2022 11:17:01 GMT+0100 (Středoevropský standardní čas);1;25;4;3;1;1
but03575;PaintPhilip;1;37;6;2022-01-18 09:11:17.802000+00:00;"[[""task1"",""2022-01-18T09:18:50.386Z"",""2022-01-18T09:23:06.094Z"",null],[""task2"",""2022-01-18T09:27:17.421Z"",""2022-01-18T09:45:52.647Z"",null],[""task3"",""2022-01-18T09:51:25.193Z"",""2022-01-18T09:58:53.441Z"",null],[""task4"",""2022-01-18T10:03:17.862Z"",""2022-01-18T10:26:23.735Z"",null],[""task5"",""2022-01-18T10:26:54.811Z"",""2022-01-18T10:37:34.651Z"",null],[""task6"",""2022-01-18T10:38:15.976Z"",""2022-01-18T10:41:17.001Z"",null]]";;132.199.120.101;Tue Jan 18 2022 10:18:50 GMT+0100 (CET);Tue Jan 18 2022 10:23:06 GMT+0100 (CET);0;1;3;5;4;2;Tue Jan 18 2022 10:27:17 GMT+0100 (CET);Tue Jan 18 2022 10:45:52 GMT+0100 (CET);0;4;2;2;3;2;Tue Jan 18 2022 10:51:25 GMT+0100 (CET);Tue Jan 18 2022 10:58:53 GMT+0100 (CET);0;27;2;2;2;2;Tue Jan 18 2022 11:03:17 GMT+0100 (CET);;;;3;2;5;5;Tue Jan 18 2022 11:26:54 GMT+0100 (CET);Tue Jan 18 2022 11:37:34 GMT+0100 (CET);0;0;4;2;5;5;Tue Jan 18 2022 11:38:15 GMT+0100 (CET);Tue Jan 18 2022 11:41:17 GMT+0100 (CET);0;0;3;5;5;5
eik44616;RocketRolf;1;24;6;2022-01-18 09:18:59.833000+00:00;"[[""task1"",""2022-01-18T09:29:07.911Z"",""2022-01-18T09:32:06.749Z"",null],[""task2"",""2022-01-18T09:34:47.961Z"",""2022-01-18T09:37:36.070Z"",null],[""task3"",""2022-01-18T09:42:21.021Z"",""2022-01-18T09:46:24.699Z"",null],[""task4"",""2022-01-18T09:49:01.422Z"",""2022-01-18T09:57:31.375Z"",null],[""task5"",""2022-01-18T10:05:50.046Z"",""2022-01-18T10:08:17.642Z"",null],[""task6"",""2022-01-18T10:08:43.650Z"",""2022-01-18T10:14:27.750Z"",null]]";;132.199.124.9;Tue Jan 18 2022 10:29:07 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:32:06 GMT+0100 (Mitteleuropäische Normalzeit);0;2;;;;;Tue Jan 18 2022 10:34:47 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:37:36 GMT+0100 (Mitteleuropäische Normalzeit);0;4;3;3;3;3;Tue Jan 18 2022 10:42:21 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:46:24 GMT+0100 (Mitteleuropäische Normalzeit);0;25;;;;;Tue Jan 18 2022 10:49:01 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:57:31 GMT+0100 (Mitteleuropäische Normalzeit);0;0;4;4;4;2;Tue Jan 18 2022 10:58:13 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 11:08:17 GMT+0100 (Mitteleuropäische Normalzeit);2;0;;;;;;Tue Jan 18 2022 11:14:27 GMT+0100 (Mitteleuropäische Normalzeit);1;0;4;4;3;3
gl;AttackerAnna;1;0;0;2022-01-18 09:06:11.331000+00:00;;;132.199.120.83;Tue Jan 18 2022 10:14:31 GMT+0100 (Mitteleuropäische Normalzeit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
goc50497;AntiFabi;1;101;6;2022-01-18 09:14:23.518000+00:00;"[[""task1"",""2022-01-18T09:25:27.169Z"",""2022-01-18T09:29:24.668Z"",null],[""task2"",""2022-01-18T09:32:52.893Z"",""2022-01-18T09:33:32.765Z"",null],[""task3"",""2022-01-18T09:38:31.393Z"",""2022-01-18T09:40:44.630Z"",null],[""task4"",""2022-01-18T09:45:07.899Z"",""2022-01-18T09:49:30.458Z"",null],[""task5"",""2022-01-18T09:53:09.105Z"",""2022-01-18T09:55:25.107Z"",null],[""task6"",""2022-01-18T09:58:05.538Z"",""2022-01-18T10:00:31.538Z"",null]]";;132.199.120.144;Tue Jan 18 2022 10:25:27 GMT+0100 (CET);Tue Jan 18 2022 10:29:24 GMT+0100 (CET);0;3;2;1;1;4;Tue Jan 18 2022 10:32:52 GMT+0100 (CET);Tue Jan 18 2022 10:33:32 GMT+0100 (CET);0;6;1;1;1;4;Tue Jan 18 2022 10:38:31 GMT+0100 (CET);Tue Jan 18 2022 10:40:44 GMT+0100 (CET);0;27;;;;;Tue Jan 18 2022 10:45:07 GMT+0100 (CET);Tue Jan 18 2022 10:49:30 GMT+0100 (CET);0;15;;;;;Tue Jan 18 2022 10:53:09 GMT+0100 (CET);Tue Jan 18 2022 10:55:25 GMT+0100 (CET);0;25;3;3;2;5;Tue Jan 18 2022 10:58:05 GMT+0100 (CET);Tue Jan 18 2022 11:00:31 GMT+0100 (CET);0;25;1;2;1;3
gp;HackerHenry;1;-1;0;2022-01-18 09:06:26.808000+00:00;;;132.199.124.20;Tue Jan 18 2022 10:20:45 GMT+0100 (Mitteleuropäische Normalzeit);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jana;JupiterJason;1;6;2;2022-01-18 13:18:15.419000+00:00;"[[""task1"",""2022-01-18T13:18:19.306Z"",""2022-01-18T13:18:22.020Z"",null],[""task1"",null,null,null],[""task2"",null,null,null],[""task1"",null,null,null],[""task1"",null,null,null],[""task2"",null,null,null],[""task1"",""2022-01-18T13:37:20.987Z"",""2022-01-18T13:37:24.693Z"",null],[""task2"",""2022-01-18T13:37:46.953Z"",""2022-01-18T13:37:52.989Z"",null],[""task3"",""2022-01-18T13:38:20.390Z"",""2022-01-18T13:38:42.272Z"",null],[""task1"",null,null,null],[""task2"",""2022-01-18T13:40:07.772Z"",""2022-01-18T13:40:15.901Z"",null]]";;132.199.124.15;Tue Jan 18 2022 14:37:20 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 14:37:24 GMT+0100 (Mitteleuropäische Normalzeit);0;3;1;2;3;4;Tue Jan 18 2022 14:40:07 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 14:40:15 GMT+0100 (Mitteleuropäische Normalzeit);0;0;1;2;3;4;Tue Jan 18 2022 14:38:20 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 14:38:42 GMT+0100 (Mitteleuropäische Normalzeit);;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jub60532;SocSally;1;85;6;2022-01-18 09:13:25.148000+00:00;"[[""task1"",""2022-01-18T09:21:26.665Z"",""2022-01-18T09:22:13.224Z"",null],[""task2"",""2022-01-18T09:28:22.717Z"",""2022-01-18T09:34:45.350Z"",null],[""task3"",""2022-01-18T09:38:36.090Z"",""2022-01-18T09:39:58.305Z"",null],[""task4"",""2022-01-18T09:43:47.930Z"",""2022-01-18T09:48:05.492Z"",null],[""task5"",""2022-01-18T09:51:26.501Z"",""2022-01-18T09:56:36.084Z"",null],[""task6"",""2022-01-18T09:58:26.014Z"",""2022-01-18T10:00:11.353Z"",null]]";;132.199.120.133;Tue Jan 18 2022 10:21:26 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:22:13 GMT+0100 (Mitteleuropäische Normalzeit);0;3;;;;;Tue Jan 18 2022 10:28:22 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:34:45 GMT+0100 (Mitteleuropäische Normalzeit);0;5;;;;;Tue Jan 18 2022 10:38:36 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:39:58 GMT+0100 (Mitteleuropäische Normalzeit);0;27;1;1;1;1;Tue Jan 18 2022 10:43:47 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:48:05 GMT+0100 (Mitteleuropäische Normalzeit);0;15;2;1;1;1;Tue Jan 18 2022 10:51:26 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 10:56:36 GMT+0100 (Mitteleuropäische Normalzeit);0;10;;;;;Tue Jan 18 2022 10:58:26 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 11:00:11 GMT+0100 (Mitteleuropäische Normalzeit);0;25;;;;
kod11515;PythonPetra;1;84;6;2022-01-18 09:15:35.051000+00:00;"[[""task1"",""2022-01-18T09:22:52.918Z"",""2022-01-18T09:24:24.033Z"",null],[""task2"",""2022-01-18T09:30:31.019Z"",""2022-01-18T09:34:57.052Z"",null],[""task3"",""2022-01-18T09:39:29.413Z"",""2022-01-18T09:42:19.479Z"",null],[""task4"",""2022-01-18T09:46:25.396Z"",""2022-01-18T09:49:11.549Z"",null],[""task5"",""2022-01-18T09:50:38.351Z"",""2022-01-18T09:53:53.679Z"",null],[""task6"",""2022-01-18T09:55:16.595Z"",""2022-01-18T10:04:01.539Z"",null]]";;132.199.124.19;Tue Jan 18 2022 10:22:52 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 10:24:24 GMT+0100 (Central European Standard Time);0;3;3;2;2;1;Tue Jan 18 2022 10:30:31 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 10:34:57 GMT+0100 (Central European Standard Time);0;6;4;3;3;1;Tue Jan 18 2022 10:39:29 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 10:42:19 GMT+0100 (Central European Standard Time);0;26;2;1;1;1;Tue Jan 18 2022 10:46:25 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 10:49:11 GMT+0100 (Central European Standard Time);0;14;2;2;2;2;Tue Jan 18 2022 10:50:38 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 10:53:53 GMT+0100 (Central European Standard Time);0;20;4;3;3;2;Tue Jan 18 2022 10:55:16 GMT+0100 (Central European Standard Time);Tue Jan 18 2022 11:04:01 GMT+0100 (Central European Standard Time);0;15;4;4;4;4
lena;JupiterJason;1;2;3;2022-01-18 12:28:38.219000+00:00;"[[""task1"",""2022-01-18T12:28:40.767Z"",""2022-01-18T12:28:55.888Z"",null],[""task2"",""2022-01-18T12:29:07.725Z"",""2022-01-18T12:29:12.230Z"",null],[""task1"",null,null,null],[""task2"",null,null,null],[""task1"",null,null,null],[""task2"",null,null,null],[""task3"",null,null,null]]";;132.199.124.15;Tue Jan 18 2022 13:28:40 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 13:28:55 GMT+0100 (Mitteleuropäische Normalzeit);1;3;2;3;2;3;Tue Jan 18 2022 13:29:07 GMT+0100 (Mitteleuropäische Normalzeit);Tue Jan 18 2022 13:29:12 GMT+0100 (Mitteleuropäische Normalzeit);0;0;5;5;5;5;;;;;4;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;
